area_type,location,bedrm,total_sqft,bath,balcony,price
Super built-up  Area,Balagere,1,645,1,0,41.9
Built-up  Area,Hennur Gardens,3,1942,3,2,102
Built-up  Area,Ashirvad Colony,2,1000,2,2,53
Super built-up  Area,Yeshwanthpur,1,668,1,1,36.85
Plot  Area,Cholanayakanahalli,5,3000,6,3,1000
Plot  Area,Nagarbhavi,3,600,2,1,80
Super built-up  Area,Uttarahalli,2,1089,2,1,43.55
Super built-up  Area,Thanisandra,3,1800,3,3,90
Super built-up  Area,Yelahanka New Town,1,960,2,1,18
Super built-up  Area,Yelahanka,2,1036,2,3,39.35
Super built-up  Area,Marathahalli,3,1583,3,3,105
Built-up  Area,7th Phase JP Nagar,4,3300,4,0,150
Super built-up  Area,Padmanabhanagar,2,1100,2,2,65
Plot  Area,Thyagaraja Nagar,1,800,1,1,100
Super built-up  Area,Vittasandra,2,1246,2,1,65
Super built-up  Area,Dodda Nekkundi,2,850,2,3,28
Super built-up  Area,Raja Rajeshwari Nagar,2,1196,2,2,51.51
Super built-up  Area,Thanisandra,3,1697,3,2,114
Built-up  Area,TC Palaya,2,1000,2,0,64
Super built-up  Area,HRBR Layout,3,1567,3,3,90
Plot  Area,Anekal,2,1200,1,1,36
Plot  Area,Sarjapur  Road,4,3750,6,3,290
Super built-up  Area,Veerannapalya,2,950,2,2,45
Super built-up  Area,Howthinarayanappa Garden,2,1022,2,2,52
Super built-up  Area,Kammasandra,2,1018,2,0,23.45
Plot  Area,Basavanagara,4,2000,3,2,25
Super built-up  Area,Bharathi Nagar,2,1322,2,2,68
Plot  Area,Marsur,4,1800,4,2,145
Super built-up  Area,Doddakallasandra,3,1460,2,2,58.39
Super built-up  Area,SRINIVASAPURA,2,990,2,1,44.55
Built-up  Area,Cambridge Layout,3,2400,3,1,260
Super built-up  Area,Whitefield,3,1635,2,2,85
Super built-up  Area,Rajaji Nagar,4,3526,4,1,558
Built-up  Area,Padmanabhanagar,4,3400,3,1,210
Built-up  Area,Ramakrishnappa Layout,3,2770,3,1,460
Super built-up  Area,EPIP Zone,4,2710,5,0,200
Super built-up  Area,Maragondanahalli,3,1533,3,2,85
Super built-up  Area,Akshaya Nagar,3,1720,3,1,134
Super built-up  Area,Frazer Town,3,2000,3,1,200
Super built-up  Area,Yeshwanthpur,2,1185,2,2,75.84
Super built-up  Area,Varthur Road,2,900,2,1,27
Built-up  Area,Attibele,1,395,1,1,10.25
Super built-up  Area,Electronic City Phase II,2,1031,2,1,56.35
Plot  Area,3rd Block Banashankari,6,2400,8,2,650
Super built-up  Area,Thanisandra,4,2650,4,2,240
Plot  Area,Basaveshwara Nagar,5,2400,5,1,415
Super built-up  Area,Uttarahalli,3,1330,2,2,46.55
Super built-up  Area,Hennur,2,1259,2,2,57
Built-up  Area,Raja Rajeshwari Nagar,3,1570,3,2,88
Built-up  Area,Bisuvanahalli,3,1075,2,1,36
Super built-up  Area,Whitefield,2,1216,2,1,79
Super built-up  Area,Sarjapur  Road,3,1428,2,2,66
Super built-up  Area,Begur Road,2,1160,2,2,40.59
Plot  Area, ittamadu,3,600,2,1,110
Super built-up  Area,Doddakannelli,3,1475,3,2,70
Super built-up  Area,Harlur,3,1754,3,2,135
Super built-up  Area,Rayasandra,3,1639,3,1,83
Super built-up  Area,Hennur Road,3,1804,3,2,102
Plot  Area,Whitefield,3,1200,3,2,56.2
Built-up  Area,Anand Nagar,2,1135,2,3,55
Super built-up  Area,Begur Road,2,1260,2,2,46.62
Plot  Area,Peenya,5,1440,5,1,110
Built-up  Area,Hennur Road,3,2160,3,2,160
Plot  Area,Rayasandra,7,700,6,,85
Super built-up  Area,Rachenahalli,2,1220,2,2,59.5
Plot  Area,Margondanahalli,2,1200,2,0,67
Super built-up  Area,Yelahanka,2,1300,2,3,65
Super built-up  Area,Cox Town,1,605,1,1,29
Plot  Area,Vijayanagar,6,1230,4,1,210
Super built-up  Area,Bhoganhalli,2,1444,2,1,75.97
Built-up  Area,Amruthahalli,2,924,2,1,45
Super built-up  Area,Kaikondrahalli,2,1000,2,1,30
Plot  Area,Vishveshwarya Layout,4,600,4,0,95
Plot  Area,Patelappa Layout,3,1200,3,3,225
Super built-up  Area,Bisuvanahalli,2,845,2,1,29
Super built-up  Area,Kanakpura Road,2,700,2,1,35
Super built-up  Area,Kothanur,2,1187,2,2,58
Super built-up  Area,Kaggadasapura,3,1625,3,2,55
Plot  Area, Devarachikkanahalli,2,1200,2,2,83
Super built-up  Area,Pulkeshi Nagar,2,1452.55,2,3,110
Built-up  Area,"Thanisandra Main Road, ",3,2357,3,2,151
Super built-up  Area,Kaval Byrasandra,2,1200,2,1,49.5
Super built-up  Area,Budigere,2,1139,2,2,56.85
Built-up  Area,Basavangudi,1,600,1,0,97.5
Super built-up  Area,Kanakpura Road,3,1660,3,3,75
Super built-up  Area,Jayanagar,2,1170,2,3,105
Super built-up  Area,Somasundara Palya,2,1448,2,2,68
Super built-up  Area,Kadugodi,3,1762,3,3,110
Super built-up  Area,Kaggadasapura,2,1105,2,1,38.65
Super built-up  Area,Yelahanka,3,1825,3,1,105
Super built-up  Area, Bhoganhalli,1,296,1,0,22.89
Plot  Area,Kumbalgodu,5,1200,4,1,85
Super built-up  Area,Thanisandra,2,1185,2,2,43
Built-up  Area,Electronic City Phase II,3,1320,2,1,38.12
Super built-up  Area,Hulimavu,2,1058,2,1,48
Super built-up  Area,Bellandur,2,1220,2,2,60
Super built-up  Area,Sarjapur,2,925,2,1,25
Super built-up  Area,Old Madras Road,2,1200,2,1,72
Super built-up  Area,Kengeri,3,1160,2,2,40.6
Plot  Area,Kengeri Satellite Town,3,600,4,3,72
Super built-up  Area,banashankari stage iii sa,3,1411,3,2,91.72
Super built-up  Area,Bannerghatta Road,3,1550,3,2,78
Super built-up  Area,Green Glen Layout,4,3250,4,3,230
Super built-up  Area,Haralur Road,3,2475,4,,130
Super built-up  Area,Jakkur,4,2249.81,,,260.5
Super built-up  Area,7th Phase JP Nagar,4,2503,4,0,188
Super built-up  Area,Marathahalli,4,2524,5,2,190
Super built-up  Area,Kaggadasapura,2,1063,2,2,42
Super built-up  Area,Kanakpura Road,2,1077,2,1,37.7
Super built-up  Area,Manayata Tech Park,2,1200,3,2,44
Built-up  Area,Hosakerehalli,4,1500,3,2,70
Super built-up  Area,Jalahalli,2,1045,2,2,76.77
Super built-up  Area,Kanakapura,3,1290,2,3,45.15
Super built-up  Area,Hoodi,2,1400,2,1,78
Built-up  Area,Begur Road,3,1600,3,2,58.14
Super built-up  Area,Jayanagar,3,3095,3,3,375
Super built-up  Area,Nagavara,3,1545,2,1,58
Super built-up  Area,Sarjapur  Road,3,1680,3,1,112
Built-up  Area,Amruthnagar,2,1350,2,1,67.5
Super built-up  Area,Gottigere,2,950,2,1,38
Super built-up  Area,Thanisandra,2,1050,2,2,45
Super built-up  Area,Banashankari Stage V,3,1305,2,2,49
Plot  Area,Hosakerehalli,4,800,4,2,120
Built-up  Area,Kodichikkanahalli,5,2700,7,2,125
Plot  Area,MS Pallya,3,1100,3,1,78
Built-up  Area,Thanisandra,6,3500,5,0,160
Super built-up  Area,Begur Road,3,1634,3,1,83.33
Super built-up  Area,Prithvi Layout,2,1352,2,2,85
Super built-up  Area,Balagere,2,1145,2,2,65
Super built-up  Area,Alfa Garden Layout,2,1240,2,,43.79
Super built-up  Area,7th Phase JP Nagar,3,2200,3,2,190
Super built-up  Area,Bommasandra Industrial Area,2,1020,2,1,39
Super built-up  Area,Palace Guttahalli,4,3600,4,,365
Super built-up  Area,Raja Rajeshwari Nagar,2,1168,2,1,61
Super built-up  Area,Electronic City Phase II,2,1205,2,1,75
Super built-up  Area,Yeshwanthpur,2,1195,2,2,100
Built-up  Area,CV Raman Nagar,2,1028,2,1,49
Super built-up  Area,Akshya Nagar,2,1175,2,2,48.27
Super built-up  Area,Pai Layout,3,1550,2,2,90
Super built-up  Area,Yeshwanthpur,3,1826,3,2,165
Plot  Area,Hoodi,5,2400,5,2,160
Super built-up  Area,Yelahanka,3,1603,3,2,96
Built-up  Area,Marathahalli,3,1350,3,1,72
Built-up  Area,KR Puram,1,714,1,1,28
Super built-up  Area,Whitefield,2,1215,2,3,65
Built-up  Area,Malleshpalya,3,1405,2,2,77
Super built-up  Area,KR Puram,2,1142,2,1,51
Built-up  Area,Akshaya Vana,4,4000,4,3,170
Super built-up  Area,Whitefield,3,1870,3,2,90
Super built-up  Area,Subramanyapura,2,1313,2,2,73
Built-up  Area,Hennur Gardens,3,1945,3,3,120
Super built-up  Area,Thanisandra,3,1573,3,2,95
Super built-up  Area,Sarjapur  Road,2,1255,2,1,92
Super built-up  Area,Benson Town,4,1400,3,2,91.15
Super built-up  Area,Kannamangala,2,1235,2,2,43.63
Super built-up  Area,Sarjapur  Road,3,1380,2,1,52
Plot  Area,Ramamurthy Nagar,7,1500,9,2,250
Super built-up  Area,Vittasandra,2,1238,2,1,67
Super built-up  Area,Chennammana Kere,3,1465,2,3,74.72
Super built-up  Area,Thigalarapalya,2,1418,2,2,103
Super built-up  Area,Victoria Layout,3,1650,3,1,165
Built-up  Area, Anekal,1,351,1,1,16
Super built-up  Area,Uttarahalli,2,1279,2,2,48
Built-up  Area,Kasavanhalli,3,1870,3,1,200
Plot  Area,BCC Layout,4,1500,5,1,230
Super built-up  Area,Hebbal,3,2526,2,2,250
Plot  Area,Mathikere,3,1550,2,1,150
Super built-up  Area,Rajaji Nagar,4,3436,,,424.5
Super built-up  Area,Uttarahalli,3,1845,2,1,68.27
Super built-up  Area,Motappa Layout,3,1360,2,1,59.27
Built-up  Area,Friends Colony,3,1150,2,1,75
Super built-up  Area,Whitefield,2,1260,2,2,49.5
Plot  Area,Doddabidrakallu,3,1200,3,1,74
Built-up  Area,Dasanapura,2,965,2,1,42.5
Built-up  Area,Hoodi,3,1350,2,3,48
Super built-up  Area,Bhoganhalli,2,1447,2,1,75.97
Super built-up  Area,Arehalli,3,1229,3,1,86.03
Super built-up  Area,Kudlu,2,1027,2,2,43
Super built-up  Area,Gottigere,2,1153,2,1,48.5
Super built-up  Area,Whitefield,4,2830,5,0,145.5
Super built-up  Area,Malleshpalya,2,1065,2,2,50
Built-up  Area,Tala Cauvery Layout,2,1030,2,3,61
Super built-up  Area,Mallasandra,2,1340,2,2,61
Super built-up  Area,Marathahalli,4,4000,5,,212
Built-up  Area,Sri Balaji Krupa Layout,1,600,1,0,32
Super built-up  Area,Begur Road,3,1410,2,3,44.42
Super built-up  Area,Varthur,2,1055,2,2,45.35
Super built-up  Area,Yelahanka,2,1304,2,1,79
Super built-up  Area,Sadashiva Nagar,4,2720,4,1,485
Built-up  Area,Kammasandra,2,990,2,1,31.5
Super built-up  Area,7th Phase JP Nagar,2,1035,2,1,39.33
Super built-up  Area,Tumkur Road,1,596,1,0,30.09
Super built-up  Area,Sonnenahalli,2,1120,2,2,43
Super built-up  Area,Haralur Road,2,1300,2,2,73
Super built-up  Area,Tumkur Road,2,1239,2,1,82
Super built-up  Area,Sarjapur  Road,3,1403,3,3,51.63
Super built-up  Area,Hosa Road,2,1365,2,1,92
Super built-up  Area,8th block Koramangala,2,1165,2,1,135
Super built-up  Area,Subramanyapura,3,1130,2,3,45.19
Super built-up  Area,Green Glen Layout,3,1776.42,3,2,105
Plot  Area,Vidyaranyapura,4,900,4,3,175
Super built-up  Area,Haralur Road,2,1194,2,2,47
Super built-up  Area,Bidadi,2,1107,2,2,33
Super built-up  Area,Nagavara,3,2319,3,2,180
Super built-up  Area,Nallurhalli,3,1520,3,3,80
Super built-up  Area,Kannamangala,3,1536,3,1,89
Built-up  Area,Teachers Colony,4,3000,4,2,240
Super built-up  Area,Belathur,2,1050,2,1,38
Super built-up  Area,Hoodi,3,1850,3,2,146
Super built-up  Area,Billekahalli,2,1112,2,2,62
Super built-up  Area,Marathahalli,3,1535,3,2,72.5
Built-up  Area,Kanakpura Road,2,1050,2,1,35
Plot  Area,Banashankari,4,2400,3,2,370
Super built-up  Area,7th Phase JP Nagar,3,1250,3,2,65
Super built-up  Area,Kalena Agrahara,2,1187,2,3,52
Built-up  Area,9th Phase JP Nagar,2,1164,2,1,56
Super built-up  Area,Electronic City Phase II,3,1395,2,1,62.78
Super built-up  Area,Arekere,3,2072,3,2,108
Super built-up  Area,Kanakpura Road,3,1450,3,3,60.91
Super built-up  Area,Bannerghatta Road,3,1550,3,2,82
Super built-up  Area,Sampige Layout,2,1315,2,2,90
Super built-up  Area,Hebbal,4,3067,4,3,230
Super built-up  Area,Amruthnagar,2,1210,2,2,72
Super built-up  Area,Bisuvanahalli,3,1075,2,1,47
Super built-up  Area,Sathya Sai Layout,6,11338,9,1,1000
Super built-up  Area,Virgonagar,3,1215,3,1,42.2
Built-up  Area,Kaggadasapura,3,1470,2,2,75
Plot  Area,Dodsworth Layout,4,30000,4,,2100
Built-up  Area,Hosur Road,3,1590,2,2,125
Super built-up  Area,Kanakpura Road,2,1050,2,1,36.75
Super built-up  Area,Raja Rajeshwari Nagar,2,1306,2,1,55.91
Built-up  Area,Malleshwaram,3,2000,3,2,250
Built-up  Area,"Kudlu Village, ",3,1445,3,2,64
Super built-up  Area,Sarjapur  Road,3,1220,3,2,58
Plot  Area,Sarjapur,4,3190,3,1,160
Super built-up  Area,Ramagondanahalli,2,1215,2,1,51.26
Built-up  Area,Budigere,3,1920,2,1,88
Super built-up  Area,Dodda Nekkundi,2,1390,2,2,60
Plot  Area,Battarahalli,3,800,2,1,75
Plot  Area,Nagarbhavi,3,600,3,2,100
Super built-up  Area,Hoodi,2,1196,2,0,71.74
Super built-up  Area,Bannerghatta Road,3,1550,2,2,75
Super built-up  Area,Thigalarapalya,2,1418,2,2,101
Super built-up  Area,Varthur Road,3,1655,3,2,115
Built-up  Area,KR Puram,2,1115,2,2,33.45
Super built-up  Area,Rajiv Gandhi Nagar,2,1170,2,2,68
Super built-up  Area,Anekal,2,1035,2,2,38.3
Super built-up  Area,Singasandra,3,1306,2,2,58
Super built-up  Area,Kengeri,2,750,2,2,22
Super built-up  Area,Thanisandra,3,1917,3,3,122
Super built-up  Area,Kaggadasapura,3,1615,3,3,58
Super built-up  Area,Marathahalli,2,1071,2,2,52.25
Super built-up  Area,Koramangala,2,1325,2,2,119
Plot  Area,Malleshwaram,7,3000,4,2,900
Super built-up  Area,5th Phase JP Nagar,3,1400,2,1,88
Super built-up  Area,Tumkur Road,2,1246,2,1,82
Built-up  Area,Sarjapur,2,1215,2,0,40
Super built-up  Area,Munnekollal,2,1200,2,2,49.5
Plot  Area,Kurubarahalli,4,450,3,1,53
Super built-up  Area,Kodigehaali,2,1200,2,2,60
Built-up  Area,Kaval Byrasandra,2,945,2,2,50
Super built-up  Area,Benson Town,4,4460,5,,650
Super built-up  Area,Hormavu,2,1175,2,1,52
Super built-up  Area,Whitefield,2,920,2,1,63
Super built-up  Area,Hosakerehalli,4,3024,5,1,350
Plot  Area,Bidadi,2,1600,2,2,110
Plot  Area,Sanjay nagar,4,750,2,0,110
Plot  Area,Sector 4 HSR Layout,4,2400,4,,700
Built-up  Area,Bhagyalakshmi Avenue,2,955,1,2,34.01
Super built-up  Area,Ardendale,3,1750,3,3,100
Super built-up  Area,Uttarahalli,3,1425,2,2,64
Super built-up  Area,Basavangudi,3,2150,3,2,265
Super built-up  Area,Whitefield,2,1165,2,1,40.5
Super built-up  Area,Kaggadasapura,2,1050,2,2,48
Super built-up  Area,Cholanayakanahalli,3,1370,2,2,75
Super built-up  Area,Electronic City,3,1374,2,1,72
Super built-up  Area,Harlur,3,1754,3,2,124
Super built-up  Area,Kothanur,3,1847,3,2,110
Super built-up  Area,Ambedkar Nagar,3,1850,4,3,139
Plot  Area,Chikka Tirupathi,3,3297,3,1,135
Super built-up  Area,Doddakannelli,2,1187,2,2,45
Built-up  Area,Bommasandra Industrial Area,3,1400,2,1,40.44
Plot  Area,Kengeri Hobli,3,600,2,0,30
Super built-up  Area,Chamrajpet,2,1350,2,3,180
Plot  Area,Doddaballapur,3,3000,2,2,120
Super built-up  Area,Thanisandra,1,693,1,1,34.3
Super built-up  Area,Dairy Circle,3,1980,3,2,224
Super built-up  Area,KR Puram,2,1021,2,1,48
Super built-up  Area,Thigalarapalya,2,1165,2,2,95
Super built-up  Area,Horamavu Agara,3,1756,3,2,92
Super built-up  Area,Bharathi Nagar,3,1739,3,1,105
Super built-up  Area,Varthur,2,1280,2,,65
Super built-up  Area,Marathahalli,2,1215,2,2,58.86
Super built-up  Area,Munnekollal,2,950,2,1,46.5
Built-up  Area,Kengeri,3,1082,2,1,49
Super built-up  Area,7th Phase JP Nagar,2,1050,2,1,42
Super built-up  Area,Devanahalli,2,1080,2,0,53.35
Super built-up  Area,Arekere,2,1100,2,2,55
Plot  Area,Ardendale,4,3200,4,1,205
Super built-up  Area,Sarjapur  Road,2,1311,2,1,78
Super built-up  Area,Raja Rajeshwari Nagar,3,1608,3,1,67.98
Super built-up  Area,Begur Road,2,1160,2,2,36
Super built-up  Area,Whitefield,2,1170,2,1,71
Super built-up  Area,Kengeri,2,1155,2,2,40.6
Super built-up  Area,Hebbal,3,1255,2,1,77.68
Super built-up  Area,Rayasandra,2,1065,2,2,44.95
Super built-up  Area,Neeladri Nagar,1,674,1,1,21
Super built-up  Area,Ambedkar Nagar,3,1936,4,2,126
Super built-up  Area,Sarakki Nagar,3,2289,3,2,260
Super built-up  Area,Abbaiah Reddy Layout,2,1100,2,1,38.45
Super built-up  Area,Ramagondanahalli,3,2257,4,2,157
Super built-up  Area,Nagarbhavi,2,1055,2,2,55
Super built-up  Area,Raja Rajeshwari Nagar,3,1530,3,3,51.87
Super built-up  Area,Dinnur,3,1700,3,1,97
Super built-up  Area,Raja Rajeshwari Nagar,3,1575,2,2,78
Built-up  Area,Frazer Town,3,3500,4,2,330
Super built-up  Area,Rajiv Nagar,2,1263,2,1,93.32
Super built-up  Area,KR Puram,3,1255,3,0,69.315
Super built-up  Area,Kengeri Satellite Town,2,1043,2,2,65
Super built-up  Area,Hennur,2,1255,2,2,53.5
Super built-up  Area,JP Nagar,2,1300,2,0,93.865
Super built-up  Area,Chandapura,1,590,1,0,13.57
Plot  Area,Yelahanka,3,1550,3,1,120
Super built-up  Area,Sarjapur  Road,3,1220,3,3,56
Super built-up  Area,Rustam Bagh Layout,3,1900,3,3,160
Super built-up  Area,Vasantha Vallabha Nagar,3,1360,3,3,55
Built-up  Area,Vyalikaval,2,1100,2,1,75
Super built-up  Area,8th Phase JP Nagar,3,1455,3,2,73.31
Built-up  Area,KR Puram,2,1035,2,1,40.5
Super built-up  Area,Harlur,2,1152,2,2,69
Super built-up  Area,Bellandur,2,1299,2,2,82
Super built-up  Area,Sarjapur  Road,3,1157,2,1,75
Super built-up  Area,Rachenahalli,2,1050,2,2,52.5
Super built-up  Area,Pai Layout,2,1050,2,2,40
Super built-up  Area,Vittasandra,2,1246,2,1,67.4
Built-up  Area,"Sarjapur Road, ",3,1929,3,2,115
Super built-up  Area,Hennur,2,1285,2,1,60
Plot  Area,Margondanahalli,3,1200,2,0,65
Built-up  Area,"Banaswadi, ",4,3161,4,3,214
Built-up  Area,BTM 2nd Stage,3,1850,3,,170
Built-up  Area,Sompura,3,1025,2,0,37
Built-up  Area,Malleshwaram,2,1124,3,2,80
Super built-up  Area,Balagere,2,1012,2,1,54.59
Super built-up  Area,Giri Nagar,7,4500,5,3,250
Super built-up  Area,8th Phase JP Nagar,2,871,2,2,55
Built-up  Area,Chinnapanahalli,2,1020,2,2,40
Super built-up  Area,Rachenahalli,3,1550,3,3,73.5
Plot  Area,Anand Nagar,3,3515,3,1,420
Super built-up  Area,Akshaya Nagar,3,1410,2,2,80
Plot  Area,Chikka Tirupathi,4,3500,5,3,150
Super built-up  Area,Whitefield,2,1118,2,1,75
Super built-up  Area,Thanisandra,2,1098,2,1,68
Super built-up  Area,Kanakapura,2,1130,2,1,45.2
Super built-up  Area,Sarjapur  Road,2,1145,2,2,75
Plot  Area,Kadugodi,3,950,3,1,80
Super built-up  Area,Balaji Gardens Layout,2,1051,2,1,33
Plot  Area,Thavarekere,7,600,7,,108
Super built-up  Area,Marathahalli,2,1102,2,2,53.67
Super built-up  Area,Jalahalli,2,1478,2,2,125
Super built-up  Area,Chandapura,1,645,1,1,16.45
Carpet  Area,Hebbal,2,823,2,1,50.63
Super built-up  Area,Abbigere,2,880,2,1,35
Built-up  Area,KR Puram,4,600,5,2,75
Super built-up  Area,Budigere,3,1991,4,2,100
Built-up  Area,TC Palaya,3,1100,3,1,50
Super built-up  Area,Gubbalala,3,1745,3,2,115
Built-up  Area,HAL 2nd Stage,2,1226,3,1,135
Plot  Area,Begur Road,3,680,4,1,68
Super built-up  Area, Devarabeesana Halli,2,1100,2,1,70
Plot  Area,Banashankari Stage VI,4,1200,4,3,195
Super built-up  Area,5th Phase JP Nagar,2,1450,2,1,58
Super built-up  Area,Singasandra,4,3366,4,,120
Built-up  Area,Sahakara Nagar,2,1150,2,1,54
Super built-up  Area,Kanakpura Road,3,1843,3,2,95.84
Plot  Area,Banashankari Stage VI,4,2200,4,2,195
Built-up  Area,Bommanahalli,2,1090,3,2,44
Super built-up  Area,Kaggadasapura,2,1132,2,2,42
Super built-up  Area,Hulimavu,2,1375,2,2,80
Plot  Area,7th Phase JP Nagar,4,1500,5,3,220
Super built-up  Area,Thanisandra,1,760,1,2,50.3
Super built-up  Area,Kaggadasapura,2,1180,2,2,65
Super built-up  Area,Jigani,2,918,2,2,45
Plot  Area,Rachenahalli,5,600,5,,50
Built-up  Area,Margondanahalli,2,1200,1,0,53
Super built-up  Area,HSR Layout,2,1372,2,1,61
Plot  Area,1st Block HRBR Layout,7,2400,7,3,355
Super built-up  Area,Ardendale,3,1728,3,2,95
Super built-up  Area,Malleshwaram,3,2215,3,1,275
Super built-up  Area,BTM 2nd Stage,2,1200,2,2,80
Super built-up  Area,6th Phase JP Nagar,2,1280,2,,56
Plot  Area,Hulimavu,4,800,4,,110
Super built-up  Area,Byrasandra,3,1455,2,2,56
Super built-up  Area, Rachenahalli,1,440,1,0,28
Plot  Area,Kanakpura Road,3,1500,3,2,97
Super built-up  Area,Whitefield,3,1800,3,,110
Super built-up  Area,Mysore Road,3,1525,3,2,96
Super built-up  Area,Rachenahalli,2,1204,2,3,38.5
Super built-up  Area,Old Madras Road,2,1225,2,1,53.55
Built-up  Area,Kalyan nagar,6,800,6,3,98
Super built-up  Area,Bannerghatta Road,3,1650,3,,122
Built-up  Area,Electronic City,3,880,2,1,18
Built-up  Area,Bikasipura,4,4200,4,2,255
Plot  Area,Tippenahalli,2,1200,2,0,55
Plot  Area,Sarjapur  Road,4,1152,4,1,230
Super built-up  Area,9th Phase JP Nagar,2,1005,2,1,42
Super built-up  Area,Whitefield,3,1562,3,2,103
Built-up  Area,Devanahalli,4,5000,5,2,395
Plot  Area,Babusapalaya,6,810,5,2,95
Super built-up  Area,Ramamurthy Nagar,2,1200,2,3,42
Super built-up  Area,Kasavanhalli,3,1555,3,2,82.5
Plot  Area,KR Puram,2,1550,2,1,71
Super built-up  Area,Whitefield,2,1190,2,2,67
Built-up  Area,Chikkalasandra,2,1070,2,2,50
Plot  Area,Sarjapur  Road,,1200,,,28.785
Super built-up  Area,Jalahalli East,2,1020,2,1,42.48
Super built-up  Area,Yelahanka,3,1610,3,1,115
Super built-up  Area,Prestige Sunrise,1,700,1,1,41
Super built-up  Area,Akshaya Vana,3,1300,2,1,49
Super built-up  Area,Hebbal,2,1420,2,1,123
Plot  Area,Vidyaranyapura,9,1200,9,2,100
Carpet  Area,Hebbal,3,1069,3,2,65.4
Super built-up  Area,Marathahalli,3,1900,3,3,123
Super built-up  Area,Old Airport Road,2,1655,2,1,97.65
Super built-up  Area,Uttarahalli,2,1155,2,2,40.42
Built-up  Area,Sarjapur  Road,3,1300,2,2,70
Super built-up  Area,Electronic City,2,1100,2,2,45
Super built-up  Area,Doddathoguru,2,1030,2,2,42
Super built-up  Area,Vittasandra,2,2105,2,1,70.2
Built-up  Area,Bhoganhalli,3,1700,3,2,126
Super built-up  Area,Jakkur,3,1760,3,2,139
Built-up  Area,Kadugodi,9,6200,9,0,200
Built-up  Area,1st Stage Indira Nagar,2,1400,2,1,67
Super built-up  Area,Srigandada Kaval,2,1200,2,0,53
Built-up  Area,Bannerghatta Road,2,912,2,1,55
Super built-up  Area,Whitefield,2,1102,2,1,48
Super built-up  Area,Channasandra Layout,3,1535,3,1,55
Super built-up  Area,Haralur Road,2,1243,2,2,46
Super built-up  Area,Jigani,2,918,2,2,63.2
Super built-up  Area,Begur Road,3,1500,2,3,70
Plot  Area,Mathikere Extension,3,3000,3,0,250
Super built-up  Area,Kasavanhalli,3,1476,3,0,89
Super built-up  Area,Mysore Road,2,1200,2,3,65
Super built-up  Area,Vijayanagar,1,606,1,0,34.78
Super built-up  Area,Viswajit Layout,2,1100,2,3,61
Super built-up  Area,Garudachar Palya,3,1295,2,1,59.5
Built-up  Area,Neeladri Nagar,1,527,1,0,26
Super built-up  Area,OMBR Layout,2,1300,2,2,80
Plot  Area,Bommanahalli,3,680,4,1,68
Plot  Area,Adityanagar,1,1260,1,0,41
Built-up  Area,Koramangala,2,1140,2,1,75.2
Plot  Area,BDS Layout,1,1500,1,0,37.5
Super built-up  Area,Whitefield,3,2321,4,1,128
Super built-up  Area,Sarjapur  Road,2,1390,2,2,62
Super built-up  Area,Sarjapur  Road,3,1725,3,3,90
Super built-up  Area,Hebbal,4,3067,4,1,310
Super built-up  Area,Hennur Road,3,1186,2,1,63
Super built-up  Area,Kanakpura Road,2,1230,2,1,85
Built-up  Area, Mysore Highway,1,600,1,1,17
Super built-up  Area,Yeshwanthpur,3,1313,3,1,96
Plot  Area,TC Palaya,2,900,2,0,55
Super built-up  Area,Ambalipura,2,1250,2,2,66.25
Plot  Area,HBR Layout,9,1200,6,3,280
Super built-up  Area,Binny Pete,1,660,1,1,54
Super built-up  Area,Basavangudi,2,1036,2,2,105
Built-up  Area,Koramangala,4,2700,4,3,450
Super built-up  Area,Old Madras Road,2,1100,2,1,70
Plot  Area,Devanahalli,,1500,,,46.8
Plot  Area,BTM 2nd Stage,4,1500,2,1,450
Plot  Area,Singasandra,4,525,5,2,56
Built-up  Area,Electronics City Phase 1,2,1015,2,1,56
Plot  Area,Gottigere,1,812,1,0,26
Built-up  Area,Narayana Nagar 1st Block,3,1360,2,2,65
Super built-up  Area,Nehru Nagar,3,2167,3,3,170
Super built-up  Area,Raja Rajeshwari Nagar,2,1200,2,1,35
Super built-up  Area,Gopalkrishna Nagar,2,1165,2,2,75
Super built-up  Area,BTM 2nd Stage,2,1274,2,2,70
Super built-up  Area,Raja Rajeshwari Nagar,2,1151,2,2,39.02
Plot  Area,Vidyaranyapura,6,1060,6,3,110
Super built-up  Area,Thubarahalli,3,1626,2,2,120
Super built-up  Area,Banashankari Stage V,2,1035,2,2,35.77
Plot  Area,Shanthi Layout,3,1272,4,0,75
Built-up  Area,Jeevan bima nagar,2,965,2,1,45
Plot  Area,Esther Enclave Layout,5,1600,5,2,140
Super built-up  Area,Kothannur,2,1070,2,1,42.79
Built-up  Area,Raja Rajeshwari Nagar,3,1570,2,2,65
Built-up  Area,Volagerekallahalli,2,117,2,2,38
Super built-up  Area,Keerthi Layout,2,780,2,2,25
Super built-up  Area,Ganga Nagar Extension,3,1000,2,1,65
Plot  Area,9th Phase JP Nagar,4,1200,3,2,188
Built-up  Area,Tindlu,7,7500,7,2,400
Built-up  Area,5th Phase JP Nagar,3,1700,2,3,100
Super built-up  Area,Haralur Road,3,1850,3,,110
Built-up  Area,Kereguddadahalli,2,904,2,1,30
Super built-up  Area,Shikaripalya,2,1121,2,1,43.72
Super built-up  Area,7th Phase JP Nagar,3,1385,2,2,58.17
